scholar_id,name,gender,affiliation,url_picture,i10index,i10index5y,hindex,hindex5y,citedby,citedby5y,num_publications
8r93d_EAAAAJ,Yérom-David Bromberg,M,University of Rennes 1,,22,7,15,8,781,253,55
GVVadXIAAAAJ,Sofia Ouhbi,F,Assistant Professor at UAEU,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GVVadXIAAAAJ&citpid=7,15,15,13,12,574,511,64
M6Etr6oAAAAJ,Peer Bork,M,EMBL,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=M6Etr6oAAAAJ&citpid=2,590,460,214,130,265626,116078,879
xsOyQN4AAAAJ,Juho Kanniainen,M,"Professor, Tampere University",,34,30,19,19,1140,1032,102
wdGI3wUAAAAJ,Angelina Bintoudi,F,Research Associate in CERTH/ITI - PhD Student in Aristotle University of Thessaloniki,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wdGI3wUAAAAJ&citpid=1,2,2,4,4,43,43,16
B3oYgSIAAAAJ,Haijun Zhang,M,"Professor, University of Science and Technology Beijing",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=B3oYgSIAAAAJ&citpid=9,106,102,39,37,7978,7385,238
mmdrsyQAAAAJ,Magnus Själander,M,"Associate Professor, Norwegian University of Science (NTNU) and Visiting Senior Lecturer at Uppsala",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mmdrsyQAAAAJ&citpid=4,28,16,18,13,991,510,90
GiCczboAAAAJ,Giacomo Bianconi,M,the Pennsylvania State University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GiCczboAAAAJ&citpid=3,9,5,9,6,221,125,46
MdmQAVkAAAAJ,Mark Manulis,M,"Head of Department of Computer Science, Reader, University of Surrey",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MdmQAVkAAAAJ&citpid=2,56,25,27,15,1829,700,110
aWthHRUAAAAJ,Jean-Paul Booth,M,"Research Director, LPP-CNRS",,119,68,43,26,5823,2059,426
mPvFg_8AAAAJ,Anthony Steed,M,University College London,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mPvFg_8AAAAJ&citpid=1,183,117,59,35,15073,6320,415
1GHpxHEAAAAJ,Alessia Milani,M,University of Bordeaux,,17,9,14,9,652,257,57
JChe5C8AAAAJ,Alexandros-Apostolos A. Boulogeorgos,M,"Dipl-Eng (MEng), PhD, SMIEEE",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JChe5C8AAAAJ&citpid=3,30,29,18,18,957,930,78
PcXZ4O4AAAAJ,Yu SUN,M,Zhejiang University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PcXZ4O4AAAAJ&citpid=2,36,35,23,23,2143,1871,92
HU5I0X4AAAAJ,Merouane Debbah,M,"Centralesupelec, Paris-Saclay University and Lagrange Mathematical and Computing Research Center",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HU5I0X4AAAAJ&citpid=2,405,284,95,81,39978,29197,1012
us-P7ZkAAAAJ,Ayache Bouakaz,M,Inserm,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=us-P7ZkAAAAJ&citpid=4,122,84,45,27,7430,2742,358
jhTHwpcAAAAJ,Deran J. H. C. Maas,M,"Principal Scientist, ABB Switzerland Ltd, Corporate Research",,20,14,18,12,1695,503,79
vwGL1h4AAAAJ,Miroslav Knezevic,M,NXP Semiconductors,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vwGL1h4AAAAJ&citpid=3,17,11,14,11,2481,1417,51
57kFlmwAAAAJ,Ali Azarian,M,"Synopsys, Inc.  /  Faculty of Engineering, University of Porto (FEUP)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=57kFlmwAAAAJ&citpid=6,1,1,3,2,43,17,11
5XJkgHYAAAAJ,Nikolaos Passalis,M,"Postdoctoral researcher, Aristotle University of Thessaloniki, Greece",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5XJkgHYAAAAJ&citpid=10,29,29,17,17,1079,1078,111
kNvGUNsAAAAJ,Jacob Krüger,M,Otto-von-Guericke-University Magdeburg,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kNvGUNsAAAAJ&citpid=6,20,20,14,14,564,558,73
tu4ZUu8AAAAJ,Tolga Tekin,M,Fraunhofer IZM,,30,14,17,13,1330,637,141
XJJDq-IAAAAJ,Ioannis Constantinou,M,Unknown affiliation,,2,2,6,4,107,85,23
vPTUwNMAAAAJ,Daniel NEGRU,M,Unknown affiliation,,31,19,17,13,865,494,130
UZYIZX0AAAAJ,Antonio Skarmeta,M,Universidad de Murcia,,313,165,55,41,14054,7406,978
Ss9FoHAAAAAJ,Marcel Neuhausen,M,"Research Associate, Chair of Computing in Engineering, Ruhr-University Bochum",,5,4,6,6,199,172,16
xZWG4kgAAAAJ,Dragan Stojanovic,M,"Professor, Computer Science Department, University of Nis, Faculty of Electronic Engineering",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xZWG4kgAAAAJ&citpid=5,33,13,17,12,1177,539,163
u31OPFoAAAAJ,Philipp Hillger,M,"Research Staff Member, University of Wuppertal",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=u31OPFoAAAAJ&citpid=2,6,6,8,8,280,280,32
4MzNtZYAAAAJ,Guilhem Grimaud,M,"Ph. D, Arts & Métiers ParisTech",,6,6,7,7,132,132,23
GeGG-kUAAAAJ,Mikhail Kirillin,M,"Senior researcher, Institute of Applied Physics RAS",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GeGG-kUAAAAJ&citpid=4,55,38,25,17,2070,1155,299
WbGrc2AAAAAJ,Vassilios Solachidis,M,Università degli Studi Roma Tre,,29,15,18,11,1585,412,68
